,barrel_rate,hard_hit_rate,avg_exit_velocity,strikeout_rate,walk_rate
blast_swing_rate,0.6240324439993139,0.8380208403785656,0.8100237422758101,-0.01418092733870278,0.16704366203118873
blast_contact_rate,0.7293885241990309,0.8883778866162594,0.8499804455270311,0.1992792007285164,0.17089474728314163
fast_swing_rate,0.6508205272800418,0.6410533592040895,0.6156797897040501,0.3601841155392937,0.15713063851927292
avg_bat_speed,0.6828793349867892,0.723565468486784,0.6639074419066199,0.43142941183876493,0.13853824073506985
squared_up_contact_rate,-0.20199009300677206,-0.029167485760636807,0.09570621146090438,-0.5657258092256199,-0.011354278807984865
squared_up_swing_rate,-0.36157178275359225,-0.18531103253339887,-0.06446688553508706,-0.7723729935449901,-0.025015705000012677
swing_tilt,0.16255237823347213,0.018021191992215847,0.012745591158615536,0.2149913482883314,0.15610024255033172
swing_length,0.4248905329840419,0.3636222012983686,0.2986940607518252,0.29052296967183405,0.007933137295873123
whiff_rate,0.49925449088503815,0.36299939406476733,0.2929459825711833,0.8679511225905864,0.028830968657560078
attack_angle,0.4279882765028315,0.16470542565868856,0.11889667809430537,0.4733998395487646,0.17949008622466522
bbe_per_swing,-0.46014664906173125,-0.2957476989235274,-0.23468643708132295,-0.8575222200297341,-0.13262725255515426
ideal_attack_angle_rate,0.17854742136974283,0.09546344736782217,0.09292440032355687,0.031000152210689438,0.031046151441089166
distance_off_plate,0.1902940964851083,0.21462063660329858,0.17890740667465807,0.17279370567554803,-0.028537426401372953
attack_direction,-0.09607472363097466,0.04595044276776227,0.07506352919852462,-0.047930906424788464,0.021816435066967066
depth_in_box,0.014494964517733081,0.016354367096378043,0.01867953016995205,-0.05124966325060817,0.09322878503111431
intercept_y_vs_plate,0.0780899308884332,0.0310679497229669,0.027836015864182377,0.11837067310137132,-0.06771394045908861
intercept_y_vs_batter,0.12061018781230642,0.059446930057571165,0.05762195095190276,0.1035525301600716,0.009954869835357767
